City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
67,Norman Wells,CA,2021-11-04,65.282,-126.8329,14.04,92,20,4.61,few clouds
68,Cape Town,ZA,2021-11-04,-33.9258,18.4232,66.27,78,20,1.01,few clouds
69,Floro,NO,2021-11-04,61.5996,5.0328,43.97,87,40,6.91,scattered clouds
70,Dikson,RU,2021-11-04,73.5069,80.5464,21.61,83,100,12.33,overcast clouds
71,East London,ZA,2021-11-04,-33.0153,27.9116,67.14,88,0,3.44,clear sky
72,Sisimiut,GL,2021-11-04,66.9395,-53.6735,31.1,72,100,22.28,overcast clouds
73,La Tuque,CA,2021-11-04,47.4334,-72.7824,35.85,51,77,2.3,broken clouds
74,Codrington,AU,2021-11-04,-38.2667,141.9667,42.57,95,1,5.93,clear sky
75,Zheshart,RU,2021-11-04,62.0731,49.5733,34.14,98,100,9.6,light rain
76,Finschhafen,PG,2021-11-04,-6.6024,147.8681,78.78,79,96,4.85,overcast clouds
77,Qaanaaq,GL,2021-11-04,77.484,-69.3632,7.83,52,0,7.07,clear sky
78,Llangefni,GB,2021-11-04,53.2556,-4.3106,49.86,73,75,16.11,broken clouds
79,Atambua,ID,2021-11-04,-9.1061,124.8925,76.32,87,100,2.66,overcast clouds
80,Kavaratti,IN,2021-11-04,10.5669,72.642,81.48,80,100,11.16,overcast clouds
81,Nikki,BJ,2021-11-04,9.9401,3.2108,84.24,40,9,3.53,clear sky
82,Bambous Virieux,MU,2021-11-04,-20.3428,57.7575,73.65,83,20,3.44,few clouds
83,Nongan,CN,2021-11-04,44.382,125.1685,39.61,86,1,6.6,clear sky
84,Killarney,IE,2021-11-04,52.05,-9.5167,46.45,100,75,0.0,broken clouds
85,Upernavik,GL,2021-11-04,72.7868,-56.1549,27.07,81,97,18.45,overcast clouds
86,Port Alfred,ZA,2021-11-04,-33.5906,26.891,66.06,89,8,5.93,clear sky
87,Whitehorse,CA,2021-11-04,60.7161,-135.0538,18.37,93,40,0.0,scattered clouds
88,Ponta Do Sol,PT,2021-11-04,32.6667,-17.1,69.12,53,65,8.01,broken clouds
89,Flagstaff,US,2021-11-04,35.1981,-111.6513,63.52,32,1,3.0,clear sky
90,San Quintin,MX,2021-11-04,30.4833,-115.95,69.93,66,14,7.58,few clouds
91,Sorkjosen,NO,2021-11-04,69.8,20.9333,37.4,81,75,13.8,broken clouds
92,Tiksi,RU,2021-11-04,71.6872,128.8694,1.62,78,100,21.94,overcast clouds
93,Constantine,DZ,2021-11-04,36.365,6.6147,56.61,76,75,6.91,broken clouds
94,Atuona,PF,2021-11-04,-9.8,-139.0333,77.4,67,79,16.24,broken clouds
95,Airai,TL,2021-11-04,-8.9266,125.4092,62.53,81,98,2.17,overcast clouds
96,Monrovia,LR,2021-11-04,6.3005,-10.7969,85.77,77,24,7.05,light rain
97,Camopi,GF,2021-11-04,3.1655,-52.3158,85.44,56,74,2.68,broken clouds
98,Santa Isabel Do Rio Negro,BR,2021-11-04,-0.4139,-65.0192,89.33,57,91,4.0,overcast clouds
99,Kalispell,US,2021-11-04,48.1958,-114.3129,49.03,93,90,0.0,mist
100,Arraial Do Cabo,BR,2021-11-04,-22.9661,-42.0278,76.96,78,40,10.36,scattered clouds
101,Laguna,US,2021-11-04,38.421,-121.4238,66.07,81,1,5.01,clear sky
102,Hermanus,ZA,2021-11-04,-34.4187,19.2345,64.9,84,95,10.94,overcast clouds
103,Kitimat,CA,2021-11-04,54.0524,-128.6534,43.18,29,100,2.01,moderate rain
104,Uige,AO,2021-11-04,-7.6087,15.0613,69.55,89,96,2.86,light rain
105,Lagoa,PT,2021-11-04,39.05,-27.9833,67.3,84,99,24.79,overcast clouds
106,Zemio,CF,2021-11-04,5.0314,25.1361,71.4,94,60,2.73,moderate rain
107,Solnechnyy,RU,2021-11-04,50.7214,136.6319,30.87,76,10,2.15,clear sky
108,Barrow,US,2021-11-04,71.2906,-156.7887,24.82,80,90,16.11,overcast clouds
109,Steamboat Springs,US,2021-11-04,40.485,-106.8317,49.71,83,1,0.0,clear sky
110,Maua,BR,2021-11-04,-23.6678,-46.4614,84.07,68,0,8.46,clear sky
111,Tokoroa,NZ,2021-11-04,-38.2333,175.8667,57.15,77,89,5.99,overcast clouds
112,Totness,SR,2021-11-04,5.8833,-56.3167,85.3,68,22,11.72,few clouds
113,Madridejos,ES,2021-11-04,39.4682,-3.532,48.34,57,10,11.03,light rain
114,Soderhamn,SE,2021-11-04,61.3037,17.0592,41.74,94,100,0.27,overcast clouds
115,Port Macquarie,AU,2021-11-04,-31.4333,152.9167,63.9,77,100,7.16,overcast clouds
116,Kodiak,US,2021-11-04,57.79,-152.4072,34.72,76,30,9.08,scattered clouds
117,Sitka,US,2021-11-04,57.0531,-135.33,37.29,87,75,3.44,broken clouds
118,Castro,BR,2021-11-04,-24.7911,-50.0119,71.67,70,40,2.08,scattered clouds
119,Bathsheba,BB,2021-11-04,13.2167,-59.5167,88.41,62,20,20.71,few clouds
120,Qandala,SO,2021-11-04,11.472,49.8728,80.19,48,3,5.41,clear sky
121,Coahuayana,MX,2021-11-04,18.7333,-103.6833,89.13,54,78,3.6,broken clouds
122,Palmer,US,2021-11-04,42.1584,-72.3287,50.65,43,75,1.99,broken clouds
123,Bilibino,RU,2021-11-04,68.0546,166.4372,-15.18,99,94,2.48,overcast clouds
124,Butaritari,KI,2021-11-04,3.0707,172.7902,83.01,72,8,15.93,clear sky
125,Hasaki,JP,2021-11-04,35.7333,140.8333,50.4,53,33,14.25,scattered clouds
126,Bluff,NZ,2021-11-04,-46.6,168.3333,47.8,83,100,0.87,overcast clouds
