City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
198,Beni,CD,63.23,overcast clouds,0.5,29.4667,Albertine hotel
200,Ambilobe,MG,76.6,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
203,Veraval,IN,79.03,overcast clouds,20.9,70.3667,Lords Inn Somnath
204,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
208,Taltal,CL,63.91,few clouds,-25.4,-70.4833,Residencial Karime
209,Port Shepstone,ZA,69.78,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
215,Nador,MA,60.87,few clouds,35.174,-2.9287,Hôtel La Giralda
219,Luau,AO,73.09,broken clouds,-10.7073,22.2247,Casa- Bernardo Cândido
225,Statesboro,US,63.25,overcast clouds,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
226,Kundiawa,PG,61.39,overcast clouds,-6.0167,144.9667,Pari
231,Farmington,US,59.86,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
233,Mar Del Plata,AR,68.02,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
234,Coquimbo,CL,62.33,scattered clouds,-29.9533,-71.3436,Punto de encuentro
235,Bambanglipuro,ID,66.6,overcast clouds,-7.95,110.2833,Puri Brata
236,Gorontalo,ID,75.04,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
237,Quatre Cocos,MU,73.51,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
240,Creel,MX,62.56,clear sky,27.75,-107.6333,The Lodge at Creel Hotel & SPA
241,Tocopilla,CL,66.9,clear sky,-22.092,-70.1979,Hotel Galvarino
244,Jieshi,CN,73.02,scattered clouds,22.8134,115.8257,Yuehai Hotel
247,Diban,SY,72.03,clear sky,35.0365,40.5167,مساكن الشرطة بمدينة ذيبان
248,Harindanga,IN,75.18,clear sky,22.0383,88.3214,Hasanur Builders
250,Neftcala,AZ,63.16,overcast clouds,39.3742,49.2472,Otel restoran
251,Ulundi,ZA,65.19,clear sky,-28.3352,31.4162,Ekhethelo Lodge Ulundi
254,Shimoda,JP,56.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
255,Banda Aceh,ID,78.35,overcast clouds,5.5577,95.3222,Sulthan Hotel International
256,Calvinia,ZA,65.64,few clouds,-31.4707,19.776,Die Lemoenhuis
259,Sumbe,AO,76.82,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
260,Villa Carlos Paz,AR,68.25,overcast clouds,-31.4241,-64.4978,Monte Carlo
261,Lalibela,ET,58.93,scattered clouds,12.0333,39.0333,Honey Land Hotel Lalibela
262,Mahebourg,MU,73.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
263,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
